0.599 --> 4.399  join kids Hat Family
2666.42 --> 2672.76  she was a stray dog who had to live on
2669.819 --> 2675.579  anything that he found on the streets
2672.76 --> 2678.28  in the bins or at the mercy of the
2675.579 --> 2679.44  people who would feed him every now and
2678.28 --> 2683.26  then
2679.44 --> 2686.5  one day while passing by a butcher's
2683.26 --> 2688.9  shop he saw that there was no one to
2686.5 --> 2692.26  attend the shop
2688.9 --> 2696.64  he entered the shop and his eyes popped
2692.26 --> 2700.42  out when he saw juicy chicken land pork
2696.64 --> 2703.66  and turkey hanging it was far from his
2700.42 --> 2706.5  reach so he went around the cabinets to
2703.66 --> 2706.5  look for something
2706.54 --> 2713.44  I hope I could find something to eat
2709.72 --> 2717.4599999999996  here he went around sniffing and looking
2713.44 --> 2721.9  for it and suddenly he saw a juicy Big
2717.46 --> 2723.579  Bone he started drooling and said my day
2721.9 --> 2728.579  is made
2723.579 --> 2728.579  this would surely fill up my tummy
2729.3 --> 2737.1400000000003  in his mouth I'll eat this juicy bone in
2733.9 --> 2740.56  a quiet place when no one else would be
2737.14 --> 2743.68  able to take it away from me so the lean
2740.56 --> 2747.16  dog very happily took the bone and
2743.68 --> 2749.3999999999996  looked for a secluded place
2747.16 --> 2749.3999999999996  foreign
2759.339 --> 2764.14  while he was trying to cross a river he
2762.88 --> 2766.48  stopped
2764.14 --> 2769.9  and looked at his reflection in the
2766.48 --> 2773.5  river he was quite surprised at what he
2769.9 --> 2774.339  saw he saw his own reflection and
2773.5 --> 2779.4  thought
2774.339 --> 2779.4  oh my God he was another dog
2779.819 --> 2787.06  it looks young too I got to have that
2783.94 --> 2789.7000000000003  bone as well and the moment the greedy
2787.06 --> 2793.599  dog decided to bark at the other door
2789.7 --> 2796.8999999999996  the bone fell in the river
2793.599 --> 2800.02  oh what have I done
2796.9 --> 2804.46  it was my reflection in the water
2800.02 --> 2808.119  Reed made me lose my bone too he went
2804.46 --> 2809.76  away in sorrow with surely a lesson to
2808.119 --> 2813.6400000000003  be learned
2809.76 --> 2817.0600000000004  wow tofu that surely was a beautiful
2813.64 --> 2820.5989999999997  story so what do you think is the moral
2817.06 --> 2825.2799999999997  of the story Being Greedy is not good
2820.599 --> 2827.7000000000003  because a bird in hand is worth three in
2825.28 --> 2827.7000000000003  the bush
2828.4 --> 2831.4  foreign
2864.24 --> 2869.339  hey Tia that monkey over there tried to
2867.76 --> 2873.7000000000003  imitate me
2869.339 --> 2878.46  oh really Tia why are you laughing
2873.7 --> 2878.46  wait I'll tell you why monkeys do this
2879.76 --> 2883.92  the monkeys and the cap seller
2900.119 --> 2906.54  once a cap seller was going to sell his
2903.819 --> 2911.5  caps in a Village Market
2906.54 --> 2914.8  stops gaps five rupees caps 10 Rupees
2911.5 --> 2917.5  caps caps caps
2914.8 --> 2920.98  he was going through a forest
2917.5 --> 2923.4  he was carrying a basket of red caps on
2920.98 --> 2923.4  his head
2925.559 --> 2933.94  he got tired In the Heat of the Sun
2930.599 --> 2937.3590000000004  and thought of lying down under a tree
2933.94 --> 2939.48  for some time he put his basket on the
2937.359 --> 2939.48  ground
2941.5 --> 2947.099  I am so tired let me take a small nap
2951.28 --> 2955.2000000000003  that the monkeys on that tree
2970.079 --> 2973.619  they came down
2981.9 --> 2989.46  and one by one took all the Caps from
2986.02 --> 2989.46  the cap seller's basket
2998.4 --> 3002.96  then they climbed on the tree
3003.98 --> 3010.02  when the cap seller woke up he was
3007.14 --> 3013.5  shocked to see his basket empty he
3010.02 --> 3016.74  searched for his caps everywhere
3013.5 --> 3019.4  to his surprise he saw the monkeys were
3016.74 --> 3019.3999999999996  wearing them
3021.24 --> 3026.0  found that the monkeys for imitating him
3029.46 --> 3036.619  so he started throwing his cap down and
3033.18 --> 3036.6189999999997  the monkeys did so
3036.839 --> 3043.5  the cap seller collected all the Caps
3040.02 --> 3047.119  put them back in his basket
3043.5 --> 3047.119  and went away happily
3053.24 --> 3060.54  so tofu we should deal with cleverness
3057.0 --> 3062.52  in such situations because wisdom helps
3060.54 --> 3065.42  during difficult times
3062.52 --> 3065.42  I understand
3079.5 --> 3082.5  foreign
3087.619 --> 3094.2000000000003  man helping that man to cross the road
3090.72 --> 3098.04  that's because he is blind and needs
3094.2 --> 3101.64  help to cross the road oh how nice of
3098.04 --> 3105.119  that man to help him yes it's always
3101.64 --> 3108.72  good to help others why Tia
3105.119 --> 3111.92  come tofu and I'll tell you a story the
3108.72 --> 3111.9199999999996  Dove and the Ant
3118.76 --> 3125.5400000000004  one hot day an ant was walking near a
3122.94 --> 3125.54  river bank
3129.98 --> 3137.3  the poor ant lost its balance and fell
3134.28 --> 3137.3  inside the water
3139.16 --> 3145.319  please help me
3142.02 --> 3148.2  she screamed for help as the flow of the
3145.319 --> 3150.92  river was too strong she was carried
3148.2 --> 3150.9199999999996  away someone
3153.859 --> 3161.0989999999997  help me please someone help me
3158.28 --> 3162.6600000000003  Adele was watching all this from a
3161.099 --> 3165.42  nearby tree
3162.66 --> 3166.319  the ant was struggling for life in the
3165.42 --> 3168.9  water
3166.319 --> 3171.5  the dove felt very sad for the little
3168.9 --> 3171.5  Anne
3175.14 --> 3178.7  decided to help her
3178.92 --> 3185.52  set to the ant
3180.78 --> 3189.98  don't worry my friend I will save you
3185.52 --> 3189.98  the top quickly plucked off a leaf
3194.7 --> 3199.14  and dropped it into the water near the
3197.4 --> 3202.02  struggling ant
3199.14 --> 3205.14  the ant moved towards the leaf and
3202.02 --> 3209.64  climbed up there and the Ant reached to
3205.14 --> 3212.7599999999998  the shore safely the thankful aunt said
3209.64 --> 3214.94  always be grateful to you for saving my
3212.76 --> 3214.94  life
3218.099 --> 3225.3590000000004  few weeks later the aunt saw a bad
3221.94 --> 3228.42  Hunter with a gun
3225.359 --> 3231.44  the hunter was targeting at the dove
3228.42 --> 3231.44  sitting on the tree
3236.22 --> 3242.3999999999996  guessing what he was about to do the ant
3239.339 --> 3246.96  quickly bit him on the heel
3242.4 --> 3249.96  ouch you pathetic ant what have you done
3246.96 --> 3249.96  foreign
3254.72 --> 3261.6189999999997  walked away happily as she was able to
3258.119 --> 3261.619  help the dove in return
3276.799 --> 3284.4  so tofu just the way that's good deed
3281.099 --> 3288.2400000000002  helped him to get out of danger by the
3284.4 --> 3293.2200000000003  ant similarly Every Good Deed we do for
3288.24 --> 3296.5789999999997  others will surely come back to us hmm I
3293.22 --> 3299.54  will always help the needy that's like a
3296.579 --> 3299.54  good boy tofu
3307.079 --> 3312.0  Peppa
3308.7 --> 3315.18  it is important to be clever but one
3312.0 --> 3319.2  should use it only for good reason
3315.18 --> 3322.0989999999997  not to hurt someone come I'll tell you a
3319.2 --> 3325.14  story of a clever monkey and a crocodile
3322.099 --> 3329.2400000000002  who thought he was clever but was
3325.14 --> 3329.24  actually a big fool
3329.48 --> 3333.38  the clever monkey
3334.74 --> 3341.8999999999996  Once Upon a Time on a Riverside
3338.4 --> 3345.9  lived a monkey on a tree
3341.9 --> 3349.92  the place was a paradise for him because
3345.9 --> 3352.6800000000003  just hopping on a stone he used to reach
3349.92 --> 3354.0  a small island in the middle of the
3352.68 --> 3358.0789999999997  river
3354.0 --> 3361.04  which was a dawned by choicist and
3358.079 --> 3364.619  juiciest of fruits
3361.04 --> 3368.24  in the vicinity of the island there
3364.619 --> 3368.2400000000002  lived a crocodile couple
3370.26 --> 3378.8590000000004  and every day they used to drool at the
3373.5 --> 3378.859  monkey hopping in and out of the island
3381.24 --> 3387.1189999999997  but the monkey was so clever that the
3384.18 --> 3390.3799999999997  crocodile couple never managed to lay
3387.119 --> 3390.38  their hands on the monkey
3391.88 --> 3399.9  one day the female crocodile said dare
3396.839 --> 3401.119  has spent I have a plan to nap this
3399.9 --> 3404.46  monkey
3401.119 --> 3406.319  ah none of our tricks have burped with
3404.46 --> 3409.799  this clever monkey
3406.319 --> 3412.98  what brilliant idea do you have now
3409.799 --> 3416.099  the female crocodile whispered in his
3412.98 --> 3419.059  ears and all he could do was laugh
3416.099 --> 3419.059  sheepishly
3420.059 --> 3426.42  the next day when the monkey was busy
3423.119 --> 3430.559  feasting on fruits on the island
3426.42 --> 3433.339  the crocodile very silently went and sat
3430.559 --> 3433.3390000000004  on the stone
3437.46 --> 3444.299  when the monkey was done with eating he
3441.0 --> 3447.24  was about to hop onto the stone when
3444.299 --> 3450.92  suddenly he realized that the stone is
3447.24 --> 3450.9199999999996  looking bigger than usual
3452.46 --> 3458.579  he understood that it was a crocodile
3455.16 --> 3463.02  waiting for him he called out to the
3458.579 --> 3467.4  crocodile is that you Mr Crocodile no no
3463.02 --> 3469.74  it's not me and the monkey thought how
3467.4 --> 3472.7400000000002  dumb could the crocodile get
3469.74 --> 3474.4799999999996  so he thought for a second and called
3472.74 --> 3477.4799999999996  out to the crocodile
3474.48 --> 3481.88  oh you surely Charlotte me this time
3477.48 --> 3481.88  I'll make your job easier now
3482.099 --> 3490.76  and I'll jump into it on my own the
3485.88 --> 3490.76  foolish crocodile opened his wide mouth
3491.28 --> 3498.0  with his eyes shut and waited for the
3494.7 --> 3501.299  monkey to jump the clever monkey who was
3498.0 --> 3503.94  watching the closed eye crocodile hopped
3501.299 --> 3506.359  on the head of the crocodile and crossed
3503.94 --> 3506.359  the river
3506.599 --> 3513.48  you couldn't fool me this time either by
3510.66 --> 3518.48  clear and clever thinking the monkey
3513.48 --> 3518.48  managed to trick the foolish crocodile
3520.22 --> 3527.52  the crocodile was indeed a fool who got
3524.52 --> 3530.94  tricked by the clever monkey yeah tofu
3527.52 --> 3534.72  and the moral is that we must think
3530.94 --> 3537.599  before we do anything like that clever
3534.72 --> 3539.9399999999996  monkey and not like that foolish
3537.599 --> 3542.94  crocodile
3539.94 --> 3542.94  foreign
3556.619 --> 3563.339  what happened tofu Tia today in school
3560.64 --> 3566.7  our teacher asked us to write something
3563.339 --> 3568.14  about the wolf so why don't you write
3566.7 --> 3571.5  about it
3568.14 --> 3573.18  but Tia I don't know anything about how
3571.5 --> 3576.66  a wolf behaves
3573.18 --> 3579.18  come let me tell you a story and then
3576.66 --> 3580.7599999999998  you would be able to figure out how it
3579.18 --> 3585.02  behaves
3580.76 --> 3585.0200000000004  the wolf and the crane
3589.92 --> 3596.839  one day a Hungry Wolf was eating his
3594.359 --> 3596.839  prey
3600.92 --> 3607.76  so rapidly that a bone got stuck in his
3605.28 --> 3607.76  throat
3612.44 --> 3618.559  he ran around the forest howling in pain
3619.579 --> 3625.819  please help me I will reward handsomely
3627.299 --> 3632.48  anyone who removes the bone from my
3630.059 --> 3632.48  throat
3643.799 --> 3646.16  foreign
3649.819 --> 3654.74  crane took pity on the wolf
3658.799 --> 3663.38  even though the task was dangerous
3665.099 --> 3670.38  The Lure of the Prophet motivated him to
3669.18 --> 3674.24  help
3670.38 --> 3674.2400000000002  so he decided to help him
3674.579 --> 3680.299  I will help you but you need to stay
3678.0 --> 3680.299  still
3680.94 --> 3686.54  I look down your throat and then remove
3683.88 --> 3686.54  the bone
3688.88 --> 3694.1600000000003  as promised the crane did his job
3694.799 --> 3699.359  Now give me my reward
3697.2 --> 3703.859  reward
3699.359 --> 3707.04  what reward you greedy fellow
3703.859 --> 3710.4  you had your head in my throat
3707.04 --> 3713.42  and instead of eating you up I let you
3710.4 --> 3713.42  go unharmed
3713.7 --> 3721.64  that should be reward enough for you
3717.42 --> 3721.64  go away or I'll Crush you
3722.16 --> 3729.48  crane walked away disappointed
3726.24 --> 3734.0589999999997  although he felt happy that he had
3729.48 --> 3734.059  helped in Saving someone's life
3739.2 --> 3744.839  so what did you understand from this
3741.299 --> 3748.68  story that one cannot trust the cunnings
3744.839 --> 3750.96  of a wolf right tofu and now would you
3748.68 --> 3754.22  be able to write about the wolf
3750.96 --> 3754.2200000000003  yes Tia
3775.28 --> 3783.119  what happened why can't you sleep I
3780.299 --> 3785.88  don't know can you please put me off to
3783.119 --> 3788.94  sleep by telling me a story
3785.88 --> 3791.78  sure tofu I'll tell you one of my
3788.94 --> 3791.78  favorite story
3794.039 --> 3797.96  the Little Red Riding Hood
3801.059 --> 3808.28  Little Red Riding Hood lived in a Hut
3804.24 --> 3808.2799999999997  near a forest with her mother
3808.5 --> 3814.4  she always wore a beautiful red hood
3811.68 --> 3819.74  while going out
3814.4 --> 3819.7400000000002  one day she went to see her grandmother
3820.619 --> 3823.619  foreign
3825.299 --> 3830.88  she met a wolf
3828.539 --> 3835.26  huh
3830.88 --> 3838.26  hello where are you going I am going to
3835.26 --> 3839.88  change my granny she lives behind that
3838.26 --> 3844.46  Hill
3839.88 --> 3844.46  the wolf got a wicked idea
3848.46 --> 3852.799  the wolf ran to Granny's house
3854.94 --> 3857.94  foreign
3871.16 --> 3875.5389999999998  got into Granny's bed
3878.94 --> 3885.96  after some time Little Red Riding Hood
3882.5 --> 3889.2  reached the house
3885.96 --> 3891.5  she saw the wolf lying in her Granny's
3889.2 --> 3891.5  bed
3892.559 --> 3900.78  granny what big eyes you have
3896.099 --> 3904.92  so that I can see you better granny what
3900.78 --> 3906.92  big ears you have so that I can hear you
3904.92 --> 3911.2200000000003  better
3906.92 --> 3915.539  granny what a big nose you have
3911.22 --> 3919.859  so that I can smell you better
3915.539 --> 3924.6800000000003  oh granny what big teeth you have
3919.859 --> 3924.68  so that I can eat you better
3925.46 --> 3931.46  oh my God help me help me
3932.22 --> 3938.8799999999997  nearby a wood cutter was in the forest
3935.579 --> 3941.6400000000003  and he heard the screen he ran to the
3938.88 --> 3944.299  house just to see the wolf attacking the
3941.64 --> 3944.299  little girl
3944.94 --> 3952.98  he hit the wolf over the head and this
3949.079 --> 3955.44  made the wolf open his mouth and Shout
3952.98 --> 3958.559  the granny jumped out
3955.44 --> 3963.14  the wolf ran away and the Little Red
3958.559 --> 3963.1400000000003  Riding Hood never saw the wolf again
3970.88 --> 3977.94  so tofu Little Red Riding Hood was able
3975.18 --> 3980.48  to save herself and her old grandmother
3977.94 --> 3980.48  too
3982.559 --> 3985.099  oh
3986.28 --> 3989.28  foreign
3993.26 --> 4001.94  tofu why are you so sad Tia I am sad
3998.28 --> 4004.88  because I lost my bicycle last week my
4001.94 --> 4008.359  friends enjoy the ride on their bicycles
4004.88 --> 4010.1600000000003  but I can't I wish they lose their
4008.359 --> 4014.18  bicycles too
4010.16 --> 4017.72  tofu I never knew you'll be so mean
4014.18 --> 4020.74  you sound very selfish you should stop
4017.72 --> 4020.74  this right away
4021.079 --> 4030.02  Tia sorry Tia but I was really sad
4025.7 --> 4032.0  I don't have one but my friends do I
4030.02 --> 4035.839  just feel left out
4032.0 --> 4039.2  it's okay tofu I can understand that you
4035.839 --> 4042.74  are sad but wishing bad for others is
4039.2 --> 4043.819  not good we should always think good for
4042.74 --> 4046.819  others
4043.819 --> 4050.359  come I'll tell you a story about a fox
4046.819 --> 4055.2799999999997  who became a laughing stock amongst his
4050.359 --> 4057.819  friends just because he was very selfish
4055.28 --> 4057.8190000000004  foreign
4062.74 --> 4068.5589999999997  one day a fox was walking in a forest
4070.839 --> 4077.839  suddenly he heard a huge snap and in an
4074.96 --> 4081.02  immigrant reaction he jumped
4077.839 --> 4082.94  but something also happened to the poor
4081.02 --> 4087.079  little thing
4082.94 --> 4090.5  he found his tail stuck in a trap and
4087.079 --> 4096.799  this gave a sharp pain in his rear
4090.5 --> 4099.819  oh ah that hurts so much oh my tail is
4096.799 --> 4103.04  stuck in a trap what would I do now
4099.819 --> 4106.759  after battling for long with his tail
4103.04 --> 4110.12  and the trap he gave a final try to it
4106.759 --> 4112.42  and with that came another snapping
4110.12 --> 4112.42  voice
4114.859 --> 4120.9400000000005  tears coming out of his eyes the fox
4117.98 --> 4120.94  moaned
4121.46 --> 4129.259  my tail my tail
4125.239 --> 4132.799  I lost my furry beautiful tail
4129.259 --> 4135.799  what would I do now I've become laughing
4132.799 --> 4139.6  stock of my skulk now
4135.799 --> 4139.6  this is so embarrassing
4140.239 --> 4148.299  and he walked deeper into the forest
4143.179 --> 4148.299  with his head bowed down in sorrow
4150.259 --> 4157.64  when suddenly an idea struck his mind
4154.279 --> 4159.88  he decided to call a meeting of all his
4157.64 --> 4159.88  friends
4166.48 --> 4171.0199999999995  friends I have gathered you for a reason
4169.759 --> 4174.38  today
4171.02 --> 4179.96  while walking through the forest I kept
4174.38 --> 4182.0  wondering we have eyes nose ears teeth
4179.96 --> 4184.52  legs
4182.0 --> 4187.0  all for some reason
4184.52 --> 4190.9400000000005  foreign
4187.0 --> 4194.42  but why why do we need a tail
4190.94 --> 4197.48  it's a useless thing and keeps bothering
4194.42 --> 4200.36  us for some reason or the other it
4197.48 --> 4203.78  either gets in way of our sitting or
4200.36 --> 4205.639999999999  when kept outside is left for someone to
4203.78 --> 4209.179  trip over
4205.64 --> 4213.08  so after a deep thought I cut off my
4209.179 --> 4216.4400000000005  tail and wants you to do the same
4213.08 --> 4217.46  it feels great without that useless
4216.44 --> 4220.759999999999  thing
4217.46 --> 4224.14  the skalk fox kept looking at the fox in
4220.76 --> 4228.14  amazement as to what he was saying
4224.14 --> 4231.400000000001  it's true but nobody has really thought
4228.14 --> 4235.12  about them without the tail
4231.4 --> 4239.54  it surely would be painful to do that
4235.12 --> 4244.599999999999  meanwhile a young agile fox jumped onto
4239.54 --> 4244.6  the higher place and addressed the skulk
4244.88 --> 4251.9800000000005  are you saying this because you no
4247.699 --> 4251.98  longer have a beautiful fairy tale
4252.38 --> 4258.7390000000005  here you are just talking about your
4255.739 --> 4261.799999999999  self-interest so that you don't get
4258.739 --> 4264.099999999999  embarrassed and feel left out of the
4261.8 --> 4264.1  skull
4264.8 --> 4270.9800000000005  and the rest of the skull went off
4267.38 --> 4274.34  laughing away and discussing as to how
4270.98 --> 4277.639999999999  selfish and mean the fox is
4274.34 --> 4282.159000000001  in order to not feel embarrassed he
4277.64 --> 4282.159000000001  wants everyone to chop off their tail
4283.88 --> 4292.84  yeah now I understood I shouldn't be
4288.08 --> 4298.239  selfish and not think bad for others
4292.84 --> 4298.2390000000005  come I buy you an ice cream tofu
4301.94 --> 4311.199  for your favorite Rhymes stories and
4305.42 --> 4311.1990000000005  more join kids Hat Family subscribe here
